User_ID,Date,City,Country,Latitude,Longitude,Sentiment,Message_Full,Message_Preview
User_46048,2025-02-27,Toronto,Canada,43.8497,-79.4023,Neutral,"Just signed up, looking around. (MsgID: 859)","Just signed up, looking around. (MsgID: 859)"
User_23434,2025-04-25,Paris,France,48.4118,2.4798,Positive,"Smooth experience, finally fixed the bugs. (MsgID: 854)","Smooth experience, finally fixed the bugs. (MsgID:.."
User_65302,2025-10-07,Toronto,Canada,44.2827,-79.04,Positive,Absolutely love the new features! Great job. (MsgID: 704),Absolutely love the new features! Great job. (MsgI..
User_40495,2025-01-16,New York,USA,40.4804,-74.2161,Positive,Absolutely love the new features! Great job. (MsgID: 323),Absolutely love the new features! Great job. (MsgI..
User_36062,2025-11-05,Moscow,Russia,55.8526,36.852,Neutral,"Just signed up, looking around. (MsgID: 674)","Just signed up, looking around. (MsgID: 674)"
User_64987,2025-11-29,Singapore,Singapore,1.6787,103.2102,Positive,Works perfectly on my new phone. (MsgID: 658),Works perfectly on my new phone. (MsgID: 658)
User_10851,2025-08-18,Paris,France,48.4934,1.7873,Neutral,"Hello everyone, new user here. (MsgID: 384)","Hello everyone, new user here. (MsgID: 384)"
User_54597,2025-03-23,Dubai,UAE,24.953,55.5099,Neutral,"Update installed, no visible changes. (MsgID: 532)","Update installed, no visible changes. (MsgID: 532)"
User_54118,2025-03-21,Berlin,Germany,52.3022,13.4494,Neutral,How do I change my profile picture? (MsgID: 881),How do I change my profile picture? (MsgID: 881)
User_57052,2025-02-17,London,UK,51.2673,0.2512,Positive,Best application I've used in a while. (MsgID: 199),Best application I've used in a while. (MsgID: 199..
User_15695,2025-06-26,Los Angeles,USA,33.8115,-117.5028,Positive,Support team was super helpful today. (MsgID: 370),Support team was super helpful today. (MsgID: 370)
User_59615,2025-08-24,Singapore,Singapore,1.1386,103.8176,Negative,Subscription is too expensive for this. (MsgID: 227),Subscription is too expensive for this. (MsgID: 22..
User_92397,2025-10-10,London,UK,51.8364,-0.6161,Positive,Sending love from London! ❤️ (MsgID: 949),Sending love from London! ❤️ (MsgID: 949)
User_19116,2025-07-05,Cape Town,South Africa,-32.8136,18.9016,Positive,Support team was super helpful today. (MsgID: 296),Support team was super helpful today. (MsgID: 296)
User_47930,2025-12-05,New York,USA,41.0082,-73.9375,Positive,"Smooth experience, finally fixed the bugs. (MsgID: 891)","Smooth experience, finally fixed the bugs. (MsgID:.."
User_46434,2025-04-30,London,UK,51.1038,-0.7611,Positive,Absolutely love the new features! Great job. (MsgID: 489),Absolutely love the new features! Great job. (MsgI..
User_58520,2025-11-22,Sydney,Australia,-34.0531,151.6321,Positive,Sending love from Sydney! ❤️ (MsgID: 266),Sending love from Sydney! ❤️ (MsgID: 266)
User_99593,2025-04-18,Mumbai,India,18.6238,72.9315,Negative,Error 505 constantly. Please fix. (MsgID: 373),Error 505 constantly. Please fix. (MsgID: 373)
User_32431,2025-02-06,Toronto,Canada,43.3802,-79.1023,Positive,Support team was super helpful today. (MsgID: 750),Support team was super helpful today. (MsgID: 750)
