Timestamp,Model_Name,Total_Tokens,Latency_Seconds,Cost_USD
2026-01-26 00:46:23.636379,gemini-1.5-pro,362,4.42,0.0018
2026-01-26 00:51:01.636379,gemini-1.5-pro,2174,22.69,0.0109
2026-01-26 01:01:59.636379,gemini-1.5-pro,13678,138.49,0.0684
2026-01-26 01:05:09.636379,gpt-4o,1820,14.89,0.0273
2026-01-26 01:16:14.636379,gpt-4o,1495,12.6,0.0224
2026-01-26 01:32:06.636379,gpt-4o,1264,10.36,0.019
2026-01-26 01:35:08.636379,gemini-1.5-pro,1509,15.65,0.0075
2026-01-26 01:38:44.636379,gpt-4o,7135,57.76,0.107
2026-01-26 01:50:57.636379,gemini-1.5-pro,197,2.56,0.001
2026-01-26 01:51:11.636379,gemini-1.5-pro,8378,97.17,0.0419
2026-01-26 01:55:20.636379,gpt-4o,435,3.9,0.0065
2026-01-26 02:04:26.636379,gemini-1.5-pro,1384,15.11,0.0069
2026-01-26 02:12:24.636379,gpt-4o,1177,10.36,0.0177
2026-01-26 02:15:43.636379,gpt-4o,3256,26.42,0.0488
2026-01-26 02:17:06.636379,gpt-4o,365,3.76,0.0055
2026-01-26 02:22:38.636379,gemini-1.5-pro,2870,29.59,0.0144
2026-01-26 02:26:51.636379,gpt-4o,13688,109.13,0.2053
2026-01-26 02:33:47.636379,gemini-1.5-pro,462,5.23,0.0023
2026-01-26 02:40:06.636379,gpt-4o,2185,17.16,0.0328
2026-01-26 02:51:54.636379,gpt-4o,932,8.26,0.014
2026-01-26 02:56:03.636379,gpt-4o,2768,22.25,0.0415
2026-01-26 02:57:04.636379,gemini-1.5-pro,1842,19.29,0.0092
2026-01-26 03:00:12.636379,gemini-1.5-pro,951,9.46,0.0048
2026-01-26 03:02:45.636379,gemini-1.5-pro,2945,30.29,0.0147
2026-01-26 03:06:09.636379,gpt-4o,10985,88.3,0.1648
2026-01-26 03:15:35.636379,gpt-4o,1493,12.66,0.0224
2026-01-26 03:19:54.636379,gemini-1.5-pro,3713,37.77,0.0186
2026-01-26 03:21:32.636379,gemini-1.5-pro,496,5.77,0.0025
2026-01-26 03:23:17.636379,gemini-1.5-pro,694,8.29,0.0035
2026-01-26 03:42:36.636379,gemini-1.5-pro,2899,30.24,0.0145
2026-01-26 03:43:26.636379,gemini-1.5-pro,7975,81.54,0.0399
2026-01-26 03:48:00.636379,gemini-1.5-pro,2580,27.74,0.0129
2026-01-26 03:48:23.636379,gpt-4o,1322,12.33,0.0198
2026-01-26 03:52:40.636379,gemini-1.5-pro,1806,18.84,0.009
2026-01-26 03:53:21.636379,gpt-4o,517,4.71,0.0078
2026-01-26 04:00:02.636379,gpt-4o,3309,27.94,0.0496
2026-01-26 04:06:12.636379,gemini-1.5-pro,4369,45.13,0.0218
2026-01-26 04:07:12.636379,gemini-1.5-pro,1150,12.0,0.0058
2026-01-26 04:09:06.636379,gpt-4o,1129,9.11,0.0169
2026-01-26 04:09:40.636379,gemini-1.5-pro,2358,23.42,0.0118
