Review_ID,True_Label,Predicted_Label,Source
REV-00000,Neutral,Neutral,Website
REV-00001,Positive,Positive,Website
REV-00002,Positive,Positive,Website
REV-00003,Positive,Positive,Website
REV-00004,Negative,Negative,Website
REV-00005,Negative,Negative,Website
REV-00006,Negative,Neutral,Mobile App
REV-00007,Positive,Negative,Mobile App
REV-00008,Positive,Positive,Website
REV-00009,Positive,Neutral,Website
REV-00010,Negative,Negative,Website
REV-00011,Positive,Positive,Website
REV-00012,Positive,Positive,Mobile App
REV-00013,Negative,Negative,Mobile App
REV-00014,Negative,Negative,Website
REV-00015,Negative,Negative,Mobile App
REV-00016,Neutral,Neutral,Mobile App
REV-00017,Positive,Positive,Website
REV-00018,Neutral,Negative,Website
REV-00019,Negative,Negative,Website
REV-00020,Positive,Positive,Website
REV-00021,Negative,Negative,Mobile App
REV-00022,Negative,Negative,Website
REV-00023,Neutral,Neutral,Mobile App
REV-00024,Neutral,Negative,Website
REV-00025,Positive,Positive,Mobile App
REV-00026,Negative,Neutral,Website
REV-00027,Positive,Positive,Website
REV-00028,Positive,Positive,Mobile App
REV-00029,Negative,Negative,Mobile App
REV-00030,Positive,Positive,Mobile App
REV-00031,Negative,Negative,Website
REV-00032,Negative,Negative,Mobile App
REV-00033,Positive,Positive,Mobile App
REV-00034,Positive,Positive,Mobile App
REV-00035,Positive,Positive,Mobile App
REV-00036,Neutral,Neutral,Mobile App
REV-00037,Negative,Positive,Mobile App
REV-00038,Positive,Neutral,Mobile App
REV-00039,Neutral,Neutral,Mobile App
REV-00040,Negative,Negative,Mobile App
REV-00041,Neutral,Positive,Website
REV-00042,Negative,Negative,Website
REV-00043,Positive,Positive,Mobile App
REV-00044,Negative,Negative,Website
REV-00045,Positive,Positive,Website
REV-00046,Neutral,Neutral,Mobile App
REV-00047,Positive,Positive,Mobile App
REV-00048,Positive,Positive,Mobile App
REV-00049,Negative,Negative,Mobile App
REV-00050,Positive,Positive,Mobile App
REV-00051,Positive,Positive,Mobile App
REV-00052,Positive,Positive,Website
REV-00053,Positive,Positive,Mobile App
REV-00054,Positive,Positive,Website
REV-00055,Positive,Positive,Mobile App
REV-00056,Negative,Negative,Mobile App
REV-00057,Negative,Negative,Website
REV-00058,Negative,Negative,Mobile App
REV-00059,Neutral,Positive,Mobile App
REV-00060,Neutral,Neutral,Website
REV-00061,Negative,Negative,Mobile App
REV-00062,Positive,Positive,Website
REV-00063,Neutral,Neutral,Mobile App
REV-00064,Negative,Negative,Mobile App
REV-00065,Positive,Positive,Website
REV-00066,Negative,Negative,Mobile App
REV-00067,Positive,Positive,Website
REV-00068,Negative,Negative,Website
REV-00069,Positive,Positive,Website
REV-00070,Positive,Positive,Mobile App
REV-00071,Negative,Negative,Mobile App
REV-00072,Negative,Negative,Website
REV-00073,Positive,Positive,Mobile App
REV-00074,Positive,Positive,Mobile App
REV-00075,Positive,Positive,Mobile App
REV-00076,Positive,Positive,Website
REV-00077,Negative,Negative,Mobile App
REV-00078,Neutral,Neutral,Website
REV-00079,Negative,Neutral,Mobile App
REV-00080,Positive,Positive,Mobile App
REV-00081,Positive,Positive,Website
REV-00082,Neutral,Neutral,Mobile App
REV-00083,Negative,Negative,Website
REV-00084,Neutral,Neutral,Mobile App
REV-00085,Neutral,Neutral,Website
REV-00086,Positive,Positive,Mobile App
REV-00087,Positive,Negative,Mobile App
REV-00088,Positive,Positive,Mobile App
REV-00089,Neutral,Neutral,Website
REV-00090,Negative,Negative,Website
REV-00091,Positive,Positive,Website
REV-00092,Positive,Positive,Mobile App
REV-00093,Positive,Positive,Website
REV-00094,Positive,Positive,Website
REV-00095,Neutral,Neutral,Website
REV-00096,Positive,Positive,Website
REV-00097,Neutral,Negative,Website
REV-00098,Negative,Negative,Website
REV-00099,Negative,Negative,Website
REV-00100,Negative,Negative,Website
REV-00101,Positive,Positive,Website
REV-00102,Neutral,Positive,Website
REV-00103,Positive,Positive,Mobile App
REV-00104,Positive,Positive,Mobile App
REV-00105,Negative,Negative,Website
REV-00106,Neutral,Neutral,Mobile App
REV-00107,Positive,Negative,Mobile App
REV-00108,Negative,Negative,Website
REV-00109,Negative,Negative,Website
REV-00110,Negative,Negative,Website
REV-00111,Negative,Negative,Mobile App
REV-00112,Positive,Positive,Website
REV-00113,Positive,Neutral,Mobile App
REV-00114,Positive,Positive,Website
REV-00115,Positive,Positive,Mobile App
REV-00116,Positive,Positive,Mobile App
REV-00117,Negative,Negative,Website
REV-00118,Positive,Positive,Website
REV-00119,Positive,Positive,Mobile App
REV-00120,Positive,Positive,Mobile App
REV-00121,Positive,Positive,Website
REV-00122,Neutral,Negative,Website
REV-00123,Negative,Negative,Mobile App
REV-00124,Negative,Negative,Website
REV-00125,Neutral,Neutral,Mobile App
REV-00126,Positive,Positive,Website
REV-00127,Positive,Neutral,Website
REV-00128,Negative,Neutral,Website
REV-00129,Positive,Positive,Mobile App
REV-00130,Neutral,Neutral,Website
REV-00131,Negative,Negative,Mobile App
REV-00132,Negative,Neutral,Website
REV-00133,Neutral,Neutral,Mobile App
REV-00134,Positive,Positive,Mobile App
REV-00135,Neutral,Neutral,Website
REV-00136,Positive,Positive,Mobile App
REV-00137,Positive,Positive,Mobile App
REV-00138,Neutral,Neutral,Mobile App
REV-00139,Positive,Neutral,Mobile App
REV-00140,Positive,Positive,Website
REV-00141,Negative,Neutral,Website
REV-00142,Neutral,Neutral,Website
REV-00143,Neutral,Neutral,Mobile App
REV-00144,Negative,Negative,Mobile App
REV-00145,Negative,Negative,Website
REV-00146,Positive,Positive,Website
REV-00147,Positive,Positive,Mobile App
REV-00148,Negative,Negative,Website
REV-00149,Negative,Negative,Website
REV-00150,Positive,Positive,Mobile App
REV-00151,Negative,Negative,Website
REV-00152,Negative,Negative,Mobile App
REV-00153,Neutral,Neutral,Website
REV-00154,Positive,Positive,Mobile App
REV-00155,Negative,Negative,Mobile App
REV-00156,Positive,Positive,Mobile App
REV-00157,Positive,Neutral,Mobile App
REV-00158,Negative,Negative,Mobile App
REV-00159,Positive,Positive,Website
REV-00160,Neutral,Neutral,Website
REV-00161,Positive,Neutral,Website
REV-00162,Positive,Positive,Mobile App
REV-00163,Positive,Positive,Website
REV-00164,Negative,Negative,Mobile App
REV-00165,Positive,Positive,Mobile App
REV-00166,Neutral,Positive,Website
REV-00167,Negative,Negative,Mobile App
REV-00168,Negative,Negative,Website
REV-00169,Positive,Positive,Mobile App
REV-00170,Positive,Positive,Mobile App
REV-00171,Negative,Negative,Website
REV-00172,Positive,Positive,Mobile App
REV-00173,Negative,Negative,Website
REV-00174,Positive,Neutral,Mobile App
REV-00175,Negative,Negative,Website
REV-00176,Positive,Positive,Mobile App
REV-00177,Neutral,Positive,Website
REV-00178,Positive,Positive,Website
REV-00179,Negative,Negative,Mobile App
REV-00180,Neutral,Negative,Website
REV-00181,Negative,Negative,Mobile App
REV-00182,Positive,Positive,Mobile App
REV-00183,Positive,Positive,Website
REV-00184,Negative,Negative,Website
REV-00185,Positive,Positive,Website
REV-00186,Positive,Positive,Website
REV-00187,Positive,Positive,Website
REV-00188,Positive,Positive,Mobile App
REV-00189,Negative,Negative,Website
REV-00190,Negative,Negative,Mobile App
REV-00191,Positive,Positive,Website
REV-00192,Positive,Positive,Website
REV-00193,Positive,Positive,Website
REV-00194,Neutral,Neutral,Mobile App
REV-00195,Neutral,Neutral,Website
REV-00196,Positive,Positive,Mobile App
REV-00197,Positive,Positive,Mobile App
REV-00198,Positive,Positive,Mobile App
REV-00199,Positive,Positive,Website
REV-00200,Positive,Positive,Mobile App
REV-00201,Negative,Negative,Website
REV-00202,Negative,Negative,Mobile App
REV-00203,Positive,Positive,Website
REV-00204,Positive,Positive,Mobile App
REV-00205,Negative,Negative,Website
REV-00206,Negative,Neutral,Website
REV-00207,Positive,Positive,Website
REV-00208,Negative,Negative,Mobile App
REV-00209,Negative,Negative,Mobile App
REV-00210,Positive,Positive,Website
REV-00211,Positive,Positive,Mobile App
REV-00212,Positive,Positive,Mobile App
REV-00213,Negative,Negative,Mobile App
REV-00214,Positive,Positive,Mobile App
REV-00215,Negative,Negative,Mobile App
REV-00216,Neutral,Neutral,Mobile App
REV-00217,Positive,Negative,Mobile App
REV-00218,Positive,Positive,Website
REV-00219,Positive,Positive,Website
REV-00220,Positive,Positive,Mobile App
REV-00221,Positive,Positive,Website
REV-00222,Negative,Negative,Website
REV-00223,Neutral,Negative,Website
REV-00224,Negative,Negative,Mobile App
REV-00225,Negative,Neutral,Mobile App
REV-00226,Positive,Positive,Mobile App
REV-00227,Neutral,Neutral,Mobile App
REV-00228,Positive,Positive,Mobile App
REV-00229,Positive,Positive,Website
REV-00230,Positive,Positive,Mobile App
REV-00231,Positive,Positive,Website
REV-00232,Positive,Positive,Mobile App
REV-00233,Neutral,Negative,Website
REV-00234,Negative,Negative,Mobile App
REV-00235,Positive,Positive,Mobile App
REV-00236,Negative,Negative,Mobile App
REV-00237,Negative,Neutral,Mobile App
REV-00238,Positive,Positive,Mobile App
REV-00239,Negative,Negative,Mobile App
REV-00240,Positive,Positive,Website
REV-00241,Positive,Positive,Mobile App
REV-00242,Positive,Positive,Website
REV-00243,Neutral,Neutral,Mobile App
REV-00244,Negative,Negative,Website
REV-00245,Positive,Positive,Website
REV-00246,Neutral,Neutral,Website
REV-00247,Positive,Positive,Website
REV-00248,Positive,Positive,Website
REV-00249,Positive,Positive,Website
REV-00250,Negative,Negative,Mobile App
REV-00251,Neutral,Negative,Website
REV-00252,Positive,Positive,Mobile App
REV-00253,Neutral,Negative,Mobile App
REV-00254,Negative,Negative,Website
REV-00255,Positive,Positive,Website
REV-00256,Positive,Positive,Mobile App
REV-00257,Positive,Positive,Website
REV-00258,Positive,Positive,Website
REV-00259,Negative,Neutral,Website
REV-00260,Positive,Positive,Website
REV-00261,Positive,Positive,Website
