Ticket_ID,Original_Text,Category,Cluster_Label,x,y
TKT-37460,нужна интеграция с 1С (Ticket #6820),Product,Feature Requests,6.6657,-3.6173
TKT-99593,данные не сохранились (Ticket #5374),Engineering,Technical Bugs,-0.1135,-8.1146
TKT-80010,токен не валиден (Ticket #3803),Engineering,API Support,-4.1049,-4.0791
TKT-70589,превышен лимит запросов (Ticket #3677),Engineering,API Support,-6.6971,-5.6302
TKT-93886,webhook не приходит (Ticket #5422),Engineering,API Support,-4.2451,-3.1535
TKT-99733,ошибка в json ответе (Ticket #4598),Engineering,API Support,-8.0699,-5.6747
TKT-40021,белый экран (Ticket #1916),Engineering,Technical Bugs,-0.6382,-7.141
TKT-62581,добавьте темную тему (Ticket #6168),Product,Feature Requests,7.156,-6.5675
TKT-37653,белый экран (Ticket #2084),Engineering,Technical Bugs,0.171,-7.0416
TKT-37869,не приходит смс с кодом (Ticket #6155),Account,Login Issues,5.1467,4.3815
TKT-94259,webhook не приходит (Ticket #7482),Engineering,API Support,-6.3521,-5.0358
TKT-44718,ошибка 403 при входе (Ticket #3340),Account,Login Issues,4.2792,4.65
TKT-83579,хочу экспорт в PDF (Ticket #5040),Product,Feature Requests,8.935,-5.3213
TKT-86622,верните старый дизайн (Ticket #5304),Product,Feature Requests,7.3596,-4.0066
TKT-57447,ошибка 403 при входе (Ticket #7543),Account,Login Issues,5.9871,3.535
TKT-76784,оплата не проходит (Ticket #3266),Finance,Billing & Payments,-6.6535,5.5763
TKT-16175,сделайте кнопку больше (Ticket #2489),Product,Feature Requests,8.2624,-2.9419
TKT-92240,добавьте темную тему (Ticket #3504),Product,Feature Requests,7.8612,-4.3613
TKT-88172,превышен лимит запросов (Ticket #7916),Engineering,API Support,-5.0716,-5.6458
TKT-60019,где мой счет? (Ticket #7304),Finance,Billing & Payments,-4.8843,6.5029
TKT-79352,ошибка в json ответе (Ticket #8668),Engineering,API Support,-5.6111,-5.4621
TKT-99166,забыл логин (Ticket #1188),Account,Login Issues,4.9478,4.6696
TKT-99353,двухфакторка сломалась (Ticket #2876),Account,Login Issues,5.6985,6.0653
TKT-94012,ошибка 500 (Ticket #5371),Engineering,Technical Bugs,0.5713,-5.4356
TKT-48469,верните деньги (Ticket #2827),Finance,Billing & Payments,-6.0071,5.6289
TKT-69470,ошибка 403 при входе (Ticket #3591),Account,Login Issues,3.1902,6.3196
TKT-75612,токен не валиден (Ticket #5315),Engineering,API Support,-5.025,-3.3725
TKT-23947,кнопка не нажимается (Ticket #9317),Engineering,Technical Bugs,-2.4533,-5.7166
TKT-93748,данные не сохранились (Ticket #5889),Engineering,Technical Bugs,0.4337,-5.1544
TKT-30032,ошибка 500 (Ticket #4258),Engineering,Technical Bugs,-3.1437,-6.0137
TKT-80697,верните деньги (Ticket #3646),Finance,Billing & Payments,-6.6569,5.663
TKT-88504,не приходит смс с кодом (Ticket #1009),Account,Login Issues,5.1101,2.6149
TKT-12552,документация устарела (Ticket #9005),Engineering,API Support,-6.6413,-6.7941
TKT-50306,приложение вылетает (Ticket #6947),Engineering,Technical Bugs,1.9475,-6.0115
TKT-41571,хочу экспорт в PDF (Ticket #1949),Product,Feature Requests,9.0985,-3.6055
TKT-21226,верните старый дизайн (Ticket #2290),Product,Feature Requests,7.5023,-5.6785
TKT-19071,данные не сохранились (Ticket #8962),Engineering,Technical Bugs,-0.9289,-7.4317
TKT-26828,не приходит смс с кодом (Ticket #3060),Account,Login Issues,4.1575,4.6068
TKT-82063,двухфакторка сломалась (Ticket #8787),Account,Login Issues,3.3807,3.7771
TKT-79163,кнопка не нажимается (Ticket #5342),Engineering,Technical Bugs,-1.6984,-7.5048
TKT-37760,ошибка 500 (Ticket #7932),Engineering,Technical Bugs,-1.0884,-7.9808
TKT-50857,ошибка 500 (Ticket #4295),Engineering,Technical Bugs,0.2579,-9.4268
TKT-67422,ошибка 403 при входе (Ticket #7118),Account,Login Issues,4.2047,4.8242
TKT-25860,нужен акт сверки (Ticket #8397),Finance,Billing & Payments,-7.3025,5.9682
