Threshold,Precision,Recall,F1_Score
0.01,0.5,1.0,0.667
0.02,0.506,1.0,0.672
0.03,0.507,1.0,0.673
0.04,0.508,1.0,0.674
0.05,0.51,1.0,0.675
0.06,0.511,1.0,0.677
0.07,0.514,1.0,0.679
0.08,0.516,1.0,0.681
0.09,0.519,1.0,0.683
0.1,0.521,1.0,0.685
0.11,0.524,1.0,0.688
0.12,0.528,1.0,0.691
0.13,0.531,1.0,0.693
0.14,0.534,1.0,0.696
0.15,0.538,1.0,0.7
0.16,0.544,1.0,0.704
0.17,0.548,1.0,0.708
0.18,0.553,1.0,0.713
0.19,0.56,1.0,0.718
0.2,0.565,1.0,0.722
0.21,0.573,1.0,0.729
0.22,0.582,1.0,0.736
0.23,0.59,1.0,0.742
0.24,0.598,1.0,0.749
0.25,0.606,1.0,0.754
0.26,0.614,1.0,0.761
0.27,0.625,1.0,0.769
0.28,0.635,0.999,0.776
0.29,0.644,0.999,0.783
0.3,0.657,0.999,0.793
0.31,0.67,0.998,0.802
0.32,0.682,0.997,0.81
0.33,0.691,0.995,0.816
0.34,0.707,0.995,0.827
0.35,0.72,0.994,0.835
0.36,0.733,0.993,0.843
0.37,0.746,0.993,0.852
0.38,0.76,0.991,0.861
0.39,0.774,0.99,0.869
0.4,0.789,0.988,0.878
0.41,0.804,0.988,0.886
0.42,0.818,0.986,0.894
0.43,0.83,0.982,0.899
0.44,0.842,0.978,0.905
0.45,0.853,0.973,0.909
0.46,0.863,0.968,0.913
0.47,0.875,0.963,0.917
0.48,0.886,0.956,0.92
0.49,0.896,0.951,0.923
0.5,0.904,0.949,0.926
0.5,0.91,0.944,0.927
0.51,0.918,0.937,0.928
0.52,0.927,0.927,0.927
0.53,0.936,0.922,0.929
0.54,0.944,0.91,0.926
0.55,0.951,0.899,0.924
0.56,0.957,0.888,0.921
0.57,0.961,0.875,0.916
0.58,0.967,0.862,0.911
0.59,0.97,0.844,0.903
0.6,0.973,0.827,0.894
0.61,0.978,0.809,0.886
0.62,0.982,0.789,0.875
0.63,0.984,0.769,0.863
0.64,0.985,0.75,0.852
0.65,0.987,0.735,0.842
0.66,0.988,0.709,0.826
0.67,0.99,0.685,0.81
0.68,0.991,0.66,0.792
0.69,0.994,0.639,0.778
0.7,0.995,0.618,0.762
0.71,0.996,0.595,0.745
0.72,0.996,0.566,0.722
0.73,0.996,0.544,0.704
0.74,0.996,0.513,0.677
0.75,0.996,0.491,0.658
0.76,0.997,0.469,0.638
0.77,0.998,0.448,0.618
0.78,0.999,0.42,0.591
0.79,0.999,0.392,0.563
0.8,0.999,0.365,0.534
0.81,0.999,0.341,0.508
0.82,0.999,0.314,0.478
0.83,0.999,0.286,0.444
0.84,0.998,0.26,0.413
0.85,0.998,0.242,0.39
0.86,0.998,0.222,0.363
0.87,0.998,0.205,0.34
0.88,1.0,0.186,0.313
0.89,1.0,0.17,0.29
0.9,1.0,0.153,0.265
0.91,1.0,0.137,0.241
0.92,1.0,0.125,0.223
0.93,1.0,0.11,0.198
0.94,1.0,0.097,0.177
0.95,1.0,0.084,0.155
0.96,1.0,0.075,0.139
0.97,1.0,0.065,0.122
0.98,1.0,0.058,0.109
0.99,1.0,0.052,0.1
